departurestation,Metric,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
IXC,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IXR,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IXR,A0600_0659_to_A1100_1159,13.02,12.5,14.13,16.57,10.93,16.76,10.47
IXR,A1200_1259_to_A1700_1759,31.77,28.8,32.61,30.39,31.69,32.43,26.7
IXR,A1800_1859_to_A2300_2359,20.31,18.48,20.65,19.89,18.58,20.54,19.37
JAI,A0000_1259_to_A0500_0559,9.63,6.06,5.73,6.33,0.0,9.34,0.0
JAI,A0600_0659_to_A1100_1159,6.95,8.48,9.55,13.29,11.11,12.64,16.91
JAI,A1200_1259_to_A1700_1759,11.23,20.61,15.29,21.52,17.36,13.19,0.74
JAI,A1800_1859_to_A2300_2359,1.6,4.24,2.55,6.96,4.17,4.4,27.94
JED,A0000_1259_to_A0500_0559,0.0,25.0,10.0,13.33,0.0,0.0,0.0
JED,A0600_0659_to_A1100_1159,100.0,68.75,86.67,73.33,96.97,0.0,91.67
JED,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JED,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JHB,A0000_1259_to_A0500_0559,0.09,0.0,0.0,0.0,0.0,0.0,0.0
JHB,A0600_0659_to_A1100_1159,12.69,12.26,11.65,14.11,10.83,12.85,10.86
JHB,A1200_1259_to_A1700_1759,6.62,7.68,12.07,7.1,14.77,8.76,12.44
JHB,A1800_1859_to_A2300_2359,10.91,12.56,15.62,13.33,16.41,14.34,14.84
JOG,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOG,A0600_0659_to_A1100_1159,29.14,40.04,42.26,41.12,42.45,42.22,36.41
JOG,A1200_1259_to_A1700_1759,27.87,29.24,30.94,30.65,30.94,31.11,25.69
JOG,A1800_1859_to_A2300_2359,7.47,8.38,6.79,7.48,7.36,7.59,7.76
KBR,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.27,0.0
KBR,A0600_0659_to_A1100_1159,13.16,11.65,8.66,10.33,8.64,14.56,8.87
KBR,A1200_1259_to_A1700_1759,36.84,35.77,32.86,36.41,33.51,37.09,33.16
KBR,A1800_1859_to_A2300_2359,24.74,24.12,26.5,21.47,30.16,22.8,28.55
KBV,A0000_1259_to_A0500_0559,0.73,0.89,0.3,0.74,0.74,0.45,0.45
KBV,A0600_0659_to_A1100_1159,9.96,12.04,12.41,11.72,10.67,10.63,9.09
KBV,A1200_1259_to_A1700_1759,14.64,18.87,18.09,16.32,19.11,18.71,16.69
KBV,A1800_1859_to_A2300_2359,7.76,7.73,9.12,8.16,9.04,8.23,6.41
KCH,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCH,A0600_0659_to_A1100_1159,7.38,8.56,8.14,7.74,8.95,8.35,8.43
KCH,A1200_1259_to_A1700_1759,12.78,15.05,15.34,16.07,15.48,14.52,13.85
